AREAP;cor;value
1302603005001;branca;0.19447160252422008
1302603005002;branca;0.19765605677213144
1302603005003;branca;0.2410923033760404
1302603005004;branca;0.24973625909906108
1302603005005;branca;0.2810317865824392
1302603005006;branca;0.20410025377092184
1302603005007;branca;0.28419531927188674
1302603005008;branca;0.4412826550061666
1302603005009;branca;0.22979809920090785
1302603005010;branca;0.30510648596321394
1302603005011;branca;0.3724818959842001
1302603005012;branca;0.40506540961200527
1302603005013;branca;0.28595945308816595
1302603005014;branca;0.2778442065968678
1302603005015;branca;0.3338197566314402
1302603005016;branca;0.26575190134831905
1302603005017;branca;0.2504216584653371
1302603005018;branca;0.2924696813011187
1302603005019;branca;0.2553841959730498
1302603005020;branca;0.2611932865182529
1302603005021;branca;0.34961952679945113
1302603005022;branca;0.4404712841523431
1302603005023;branca;0.2149295353817041
1302603005024;branca;0.2529038298370344
1302603005025;branca;0.1869287425681072
1302603005026;branca;0.20895258663001864
1302603005027;branca;0.24714446529080675
1302603005028;branca;0.21156748041424644
1302603005029;branca;0.21171778053536608
1302603005030;branca;0.24844623990055936
1302603005031;branca;0.25929904659594466
1302603005032;branca;0.21605507073554123
1302603005033;branca;0.32202300819973073
1302603005001;preta;0.04381832725979913
1302603005002;preta;0.037879796807518885
1302603005003;preta;0.04432806508931077
1302603005004;preta;0.043926047051376725
1302603005005;preta;0.04336786040534473
1302603005006;preta;0.04007584614068604
1302603005007;preta;0.040227844966359845
1302603005008;preta;0.024913106850543782
1302603005009;preta;0.030608224187116805
1302603005010;preta;0.03739109390125847
1302603005011;preta;0.028650427913100723
1302603005012;preta;0.04783688042174556
1302603005013;preta;0.03798208392267798
1302603005014;preta;0.04030447082154627
1302603005015;preta;0.04001223903782333
1302603005016;preta;0.04328918366131178
1302603005017;preta;0.026951365825668133
1302603005018;preta;0.03343047851837924
1302603005019;preta;0.040931573003076684
1302603005020;preta;0.045171572289456646
1302603005021;preta;0.03873341926899247
1302603005022;preta;0.03253412203932216
1302603005023;preta;0.0582889298341716
1302603005024;preta;0.06577138008718804
1302603005025;preta;0.05362055195669536
1302603005026;preta;0.04529302051634436
1302603005027;preta;0.04033020637898687
1302603005028;preta;0.04103189532215722
1302603005029;preta;0.058943449742953374
1302603005030;preta;0.041330018645121196
1302603005031;preta;0.04971800725124211
1302603005032;preta;0.043778343903011906
1302603005033;preta;0.037633092644719125
1302603005001;amarela;0.010013924688175866
1302603005002;amarela;0.01666634957477978
1302603005003;amarela;0.008673898812307117
1302603005004;amarela;0.006975946829834371
1302603005005;amarela;0.010528434514685618
1302603005006;amarela;0.009195631718513873
1302603005007;amarela;0.010723572873240599
1302603005008;amarela;0.016705908734163024
1302603005009;amarela;0.008873548000693492
1302603005010;amarela;0.00888189738625363
1302603005011;amarela;0.0066622778143515474
1302603005012;amarela;0.01662436194248417
1302603005013;amarela;0.010051862329090052
1302603005014;amarela;0.00976989705153256
1302603005015;amarela;0.011226963541789254
1302603005016;amarela;0.009134414901010742
1302603005017;amarela;0.009806819564952792
1302603005018;amarela;0.010341261633919338
1302603005019;amarela;0.01454609183315808
1302603005020;amarela;0.006623835848398825
1302603005021;amarela;0.01956422304461724
1302603005022;amarela;0.016436762103323718
1302603005023;amarela;0.016533041183208006
1302603005024;amarela;0.017057257380262734
1302603005025;amarela;0.009872215813293105
1302603005026;amarela;0.007421223127515461
1302603005027;amarela;0.016825515947467166
1302603005028;amarela;0.012981375447009943
1302603005029;amarela;0.012772558057082078
1302603005030;amarela;0.01027553345763414
1302603005031;amarela;0.011363636363636364
